case_id,sample_id,component,graph_n_atoms,manifest_smiles,manifest_smiles_n_atoms,matched_smiles,matched_smiles_n_atoms,mapping_type,atomic_order_match,bond_match,status
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__332.9__0.18,Refrigerant,10,FC(F)(F)/C=C\C(F)(F)F,10,FC(F)(F)/C=C\C(F)(F)F,10,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__332.9__0.24,Cation,8,C(C)[N+]1=CN(C=C1)C,8,C(C)[N+]1=CN(C=C1)C,8,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__332.9__0.24,Anion,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__332.9__0.24,Refrigerant,10,FC(F)(F)/C=C\C(F)(F)F,10,FC(F)(F)/C=C\C(F)(F)F,10,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__342.9__0.24,Cation,8,C(C)[N+]1=CN(C=C1)C,8,C(C)[N+]1=CN(C=C1)C,8,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__342.9__0.24,Anion,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__342.9__0.24,Refrigerant,10,FC(F)(F)/C=C\C(F)(F)F,10,FC(F)(F)/C=C\C(F)(F)F,10,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__342.9__0.31,Cation,8,C(C)[N+]1=CN(C=C1)C,8,C(C)[N+]1=CN(C=C1)C,8,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__342.9__0.31,Anion,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__342.9__0.31,Refrigerant,10,FC(F)(F)/C=C\C(F)(F)F,10,FC(F)(F)/C=C\C(F)(F)F,10,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__352.8__0.31,Cation,8,C(C)[N+]1=CN(C=C1)C,8,C(C)[N+]1=CN(C=C1)C,8,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__352.8__0.31,Anion,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__352.8__0.31,Refrigerant,10,FC(F)(F)/C=C\C(F)(F)F,10,FC(F)(F)/C=C\C(F)(F)F,10,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__352.8__0.41,Cation,8,C(C)[N+]1=CN(C=C1)C,8,C(C)[N+]1=CN(C=C1)C,8,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__352.8__0.41,Anion,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__352.8__0.41,Refrigerant,10,FC(F)(F)/C=C\C(F)(F)F,10,FC(F)(F)/C=C\C(F)(F)F,10,Direct_Manifest_SMILES,True,True,PASS
